Company,Brand,Location,Season,Year,Sale
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2013,950
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2014,0
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2015,530
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2016,160
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2017,1400
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2018,200
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2019,40
Nintendo,Nintendo 3DS (3DS),Europe,DEC,2020,10
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2013,550
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2014,440
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2015,650
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2016,560
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2017,170
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2018,170
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2019,0
Nintendo,Nintendo 3DS (3DS),Europe,JUN,2020,30
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2013,1370
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2014,2180
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2015,950
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2016,720
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2017,760
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2018,1190
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2019,320
Nintendo,Nintendo 3DS (3DS),Europe,MAR,2020,70
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2013,660
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2014,0
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2015,210
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2016,0
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2017,200
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2018,0
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2019,0
Nintendo,Nintendo 3DS (3DS),Europe,SEP,2020,70
Nintendo,Nintendo 3DS (3DS),Japan,DEC,2013,1380
Nintendo,Nintendo 3DS (3DS),Japan,DEC,2014,960
