header:
('Microsoft', 'Xbox One (XOne)', 'Europe')
row data:
   Season  Year  Sale
0     DEC  2013     0
1     DEC  2014  1000
2     DEC  2015   590
3     DEC  2016   520
4     DEC  2017   500
5     DEC  2018   470
6     DEC  2019     0
7     DEC  2020    70
8     JUN  2013     0
9     JUN  2014   220
10    JUN  2015   300
11    JUN  2016   470
12    JUN  2017   340
13    JUN  2018    30
14    JUN  2019     0
15    JUN  2020   280
16    MAR  2013     0
17    MAR  2014   890
18    MAR  2015   790
19    MAR  2016   950
20    MAR  2017  1040
21    MAR  2018  1220
22    MAR  2019   820
23    MAR  2020   170
24    SEP  2013     0
25    SEP  2014   120
26    SEP  2015   250
27    SEP  2016   390
28    SEP  2017   350
29    SEP  2018   260
30    SEP  2019     0
31    SEP  2020   120
insights:
{'point': [], 'shape': [], 'compound': []}
