header:
('Microsoft', 'Xbox One (XOne)', 'North America')
row data:
   Season  Year  Sale
0     DEC  2013     0
1     DEC  2014  1260
2     DEC  2015  1170
3     DEC  2016   910
4     DEC  2017   440
5     DEC  2018   710
6     DEC  2019   550
7     DEC  2020   150
8     JUN  2013     0
9     JUN  2014   730
10    JUN  2015   710
11    JUN  2016   610
12    JUN  2017   680
13    JUN  2018   910
14    JUN  2019   690
15    JUN  2020   850
16    MAR  2013     0
17    MAR  2014  2430
18    MAR  2015  2270
19    MAR  2016  2890
20    MAR  2017  2940
21    MAR  2018  3230
22    MAR  2019  2340
23    MAR  2020  1770
24    SEP  2013     0
25    SEP  2014   390
26    SEP  2015   600
27    SEP  2016   630
28    SEP  2017   470
29    SEP  2018   510
30    SEP  2019   350
31    SEP  2020   350
insights:
{'point': [], 'shape': [], 'compound': []}
