header:
('Microsoft', 'Xbox One (XOne)', 'Other')
row data:
   Season  Year  Sale
0     DEC  2013     0
1     DEC  2014   620
2     DEC  2015   260
3     DEC  2016   150
4     DEC  2017   220
5     DEC  2018   180
6     DEC  2019     0
7     DEC  2020    20
8     JUN  2013     0
9     JUN  2014    80
10    JUN  2015   150
11    JUN  2016   150
12    JUN  2017   130
13    JUN  2018     0
14    JUN  2019     0
15    JUN  2020     0
16    MAR  2013     0
17    MAR  2014   220
18    MAR  2015   340
19    MAR  2016   440
20    MAR  2017   460
21    MAR  2018   530
22    MAR  2019   270
23    MAR  2020     0
24    SEP  2013     0
25    SEP  2014    60
26    SEP  2015    80
27    SEP  2016   120
28    SEP  2017   160
29    SEP  2018    70
30    SEP  2019     0
31    SEP  2020    70
insights:
{'point': [], 'shape': [], 'compound': []}
