header:
('Nintendo', 'Wii (Wii)', 'North America')
row data:
   Season  Year  Sale
0     DEC  2013   120
1     DEC  2014    60
2     DEC  2015    10
3     DEC  2016     0
4     DEC  2017   130
5     DEC  2018     0
6     DEC  2019     0
7     DEC  2020     0
8     JUN  2013   180
9     JUN  2014    60
10    JUN  2015     0
11    JUN  2016     0
12    JUN  2017     0
13    JUN  2018     0
14    JUN  2019     0
15    JUN  2020     0
16    MAR  2013   560
17    MAR  2014   210
18    MAR  2015    50
19    MAR  2016     0
20    MAR  2017     0
21    MAR  2018     0
22    MAR  2019     0
23    MAR  2020     0
24    SEP  2013   160
25    SEP  2014    40
26    SEP  2015     0
27    SEP  2016     0
28    SEP  2017     0
29    SEP  2018     0
30    SEP  2019     0
31    SEP  2020     0
insights:
{'point': [], 'shape': [], 'compound': []}
