header:
('Sony', 'PlayStation 4 (PS4)', 'Europe')
row data:
   Season  Year  Sale
0     DEC  2013     0
1     DEC  2014  2430
2     DEC  2015  1360
3     DEC  2016  1020
4     DEC  2017  1760
5     DEC  2018  1810
6     DEC  2019  1880
7     DEC  2020   560
8     JUN  2013     0
9     JUN  2014   650
10    JUN  2015  1200
11    JUN  2016  1800
12    JUN  2017  1090
13    JUN  2018  1650
14    JUN  2019  1740
15    JUN  2020  1810
16    MAR  2013     0
17    MAR  2014  2180
18    MAR  2015  1480
19    MAR  2016  3430
20    MAR  2017  3330
21    MAR  2018  3490
22    MAR  2019  2540
23    MAR  2020  1860
24    SEP  2013     0
25    SEP  2014   930
26    SEP  2015   820
27    SEP  2016  1130
28    SEP  2017  1990
29    SEP  2018   970
30    SEP  2019  1490
31    SEP  2020  1140
insights:
{'point': [], 'shape': [], 'compound': []}
